Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Pernambuco (PE),mais de 55 anos,3 a 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",Extra,,Pão de Açúcar,,,iFood,,,Americanas Mercado,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,2 selos,"Sim, gastaria e trocaria pelo microondas",,Porque o micro-ondas é um prêmio melhor.,Acho muito bom,No mesmo dia,Não,R$100,1,1
Bahia (BA),45 a 55 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,,,,,,Nenhum,,,,,,,,Nenhum,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Pepsi,,Coca-Cola com selos em dobro,Que eu ganhei 2 cupons,"Sim, gastaria e trocaria pelo microondas",,Por que já tenho a sanduicheira,Ótimo,Na mesma semana,Sim,R$100,1,1
Paraíba (PB),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,Supermercado Now,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,,,,,,,Cashback,,,,,,,,,"Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Sim,"Sim, gastaria e trocaria pelo microondas",,Pq no momento necessito do micro ondas,Interessante,No mesmo dia,Não,R$100,1,1
Rio Grande do Sul (RS),45 a 55 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Entendo que sempre bom um desconto se este selo funcionar já ajuda,"Sim, gastaria e trocaria pelo microondas",,Porque estou sem microonda e não posso comprar agora,Sempre bom,,Sim,R$200,0,0
Alagoas (AL),35 a 45 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,,,Americanas Mercado,Uber,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,"Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,"Não gosto de selos, e demorado e corre o risco de perde a cartela","Não, fico com a sanduicheira","Não vivemos dentro do supermercado, no geral quando a compras pequenas se faz próximo de casa",,,No mesmo dia,Não,R$100,0,1
São Paulo (SP),25 a 35 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Nao entendi,"Sim, gastaria e trocaria pelo microondas",,Porque preferia ficar com um eletro melhor,Legal. Incentiva o consumidor a comprar,Na mesma semana,Depende da campanha,R$100,1,1
Rio Grande do Sul (RS),45 a 55 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,"Tenho dois cupons, já que 1º item é do setor eletro.","Sim, gastaria e trocaria pelo microondas",,Utilidade e praticidade,"Bonitas, organizadas e informativas dos itens que a loja disponibiliza.",Na mesma semana,Sim,R$400,0,1
Pernambuco (PE),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,,,,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Coca-Cola com selos em dobro,Que recebi o selo pela compra do refrigerante,"Sim, gastaria e trocaria pelo microondas",,Porque prefiro um prêmio maior,Excelente,Em até 2 meses,Provavelmente,R$50,1,1
Ceará (CE),18 a 25 anos,Não vou ao mercado,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,,,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Coca-Cola com selos em dobro,"Que iria receber em dobro os pontos que teria acumulado, caso eu levasse o produto participante da promoção.","Sim, gastaria e trocaria pelo microondas",,"Devido ao valor monetário do produto que me seria fornecido em troca da pontuação ofertada. Em outras palavras, sanduicheira é infinitamente mais barato que um microondas. Independente da sua capacidade em litros.","Ah, legal...",No mesmo dia,Não,R$100,0,1
Ceará (CE),35 a 45 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,"Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Pepsi,52 selos,"Sim, gastaria e trocaria pelo microondas",,Acumularia até completar o microondas,Legal,No mesmo dia,Sim,R$100,1,1
São Paulo (SP),25 a 35 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,Carrefour,Pão de Açúcar,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,,,Ativação de ofertas em aplicativos,,Acúmulo de milhas,,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,"Que eu ñ tenho direito ao selo. Porém na nota está informando que tenho direito a 2 selos. O sistema pode ser simplificado e melhorado, para evitar conflitos.","Não, fico com a sanduicheira",Porque talvez eu não tivesse necessidade de comprar mais naquele momento.,,,No mesmo dia,Depende da campanha,R$100,1,1
Pernambuco (PE),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto",,"Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Ruim. O eletrodoméstico também deveria pontuar.,"Sim, gastaria e trocaria pelo microondas",,A pontuação não seria bem aproveitada.,Legal.,No mesmo dia,Provavelmente,R$100,1,1
Pernambuco (PE),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,sim,"Sim, gastaria e trocaria pelo microondas",,micro e,sim,No mesmo dia,Depende da campanha,R$50,1,1
Bahia (BA),mais de 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Nunca observei,"Sim, gastaria e trocaria pelo microondas",,O micro-ondas é mais interessante,Bom,No mesmo dia,Sim,R$400,0,1
Pernambuco (PE),35 a 45 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,2,"Sim, gastaria e trocaria pelo microondas",,O outro produto é melhor,Bom,No mesmo dia,Depende da campanha,R$100,1,1
Bahia (BA),mais de 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,,,Cupons de desconto,,,,,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Sem importancia,"Sim, gastaria e trocaria pelo microondas",,Já disponho em casa,É um festival de ofertas.,Na mesma semana,Provavelmente,R$200,0,1
Pernambuco (PE),mais de 55 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,,,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,,,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Só ganhei dois selos pois eletrodomésticos não faz parte do programa.,"Sim, gastaria e trocaria pelo microondas",,O microondas é um produto melhor,Nãobtenho opinião,No mesmo dia,Provavelmente,R$100,1,1
Paraíba (PB),35 a 45 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,Cashback,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,Ganhei 2 selo,"Sim, gastaria e trocaria pelo microondas",,E melhor o microondas,Não sei opinar,No mesmo dia,Sim,R$100,1,1
Paraíba (PB),mais de 55 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",Extra,Carrefour,,,,,,,,,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Terminal de auto atendimento na loja,,,Cupons de desconto,,,,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Pepsi,,Coca-Cola com selos em dobro,Não respondi porque não entendi,"Sim, gastaria e trocaria pelo microondas",,Porque é Muito mais do que maravilhoso um micro ondas,Tudo da ocasião,Em até 2 meses,Sim,R$50,1,1
Rio Grande do Sul (RS),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de desconto no BIG",Pepsi,,Pepsi,Que vou ganhar desconto,"Sim, gastaria e trocaria pelo microondas",,Mais vantajoso pegar micro,Legal,No mesmo dia,Não,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,,,,,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nada.,"Sim, gastaria e trocaria pelo microondas",,Prefiro microondas,show,Na mesma semana,Não,R$50,1,1
Paraíba (PB),25 a 35 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,Cashback,,,,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Eletrodomésticos,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Sim,"Sim, gastaria e trocaria pelo microondas",,Já possuo,Show,No mesmo dia,Provavelmente,R$400,1,1
Ceará (CE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,Cashback,Cupons de desconto,,,,,,,"Sim, já recebi descontos na loja",,,,"Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Vou ganhar 2 selos.,"Não, fico com a sanduicheira",Somos só 2 pessoas aqui em casa. Meu supermercado não é  valor muito alto.,,,No mesmo dia,Depende da campanha,R$100,0,0
Pernambuco (PE),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,bom,"Sim, gastaria e trocaria pelo microondas",,pelo valor,boa,Na mesma semana,Sim,R$50,0,0
Bahia (BA),mais de 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Terminal de auto atendimento na loja,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Nada!,"Sim, gastaria e trocaria pelo microondas",,Não muito útil!,Ótimo!,No mesmo dia,Não,R$200,0,1
São Paulo (SP),mais de 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,Carrefour,Pão de Açúcar,,,,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,,,,,,Cartela de selinhos,,Cupons de desconto,,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Dinheiro de volta (Cashback),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Preenchimento da cartela de selos ou troca por cupon para sorteio,"Sim, gastaria e trocaria pelo microondas",,Para trocar por algo de maiir valor,Nprmal,No mesmo dia,Não,R$400,1,1
